,Sample ID,Sample_type,AF_level_ppb,AF_level_logppb,Mass_AF,Count_type,
158,NRB_23_A,Accept,1.096478196,0.047256871,411.9,Kenya,
159,NRB_24_A,Accept,1.096478196,0.047256871,603.4,Kenya,
160,NRB_25_A,Accept,1.548816619,0.190523997,346.4,Kenya,
161,NRB_26_A,Accept,1.548816619,0.190523997,420.2,Kenya,
162,NRB_27_A,Accept,1.122018454,0.049806888,378.6,Kenya,
163,NRB_28_A,Accept,1.096478196,0.047256871,219.8,Kenya,
164,NRB_29_A,Accept,1.122018454,0.052344689,235.6,Kenya,
165,NRB_30_A,Accept,1.096478196,0.047256871,316.4,Kenya,
166,NRB_31_A,Accept,1.621810097,0.208112078,353,Kenya,
167,NRB_32_A,Accept,1.288249552,0.114458031,386.4,Kenya,
168,NRB_33_A,Accept,1.096478196,0.047256871,304.4,Kenya,
169,NRB_34_A,Accept,1.096478196,0.047256871,321.9,Kenya,
170,NRB_35_A,Accept,1.096478196,0.047256871,372.8,Kenya,
171,NRB_36_A,Accept,1.096478196,0.047256871,419.5,Kenya,
172,NRB_37_A,Accept,1.096478196,0.047256871,399.3,Kenya,
173,NRB_38_A,Accept,1.096478196,0.047256871,387.7,Kenya,
174,NRB_39_A,Accept,1.096478196,-0.044400429,378.5,Kenya,
175,NRB_40_A,Accept,1.096478196,-0.044400429,286.2,Kenya,
176,NRB_41_A,Accept,1.698243652,0.227087581,380.9,Kenya,
177,NRB_42_A,Accept,1.096478196,0.047256871,325.2,Kenya,
178,NRB_43_A,Accept,1.096478196,0.047256871,293.7,Kenya,
179,NRB_44_A,Accept,1.698243652,0.225215531,225.1,Kenya,
180,NRB_45_A,Accept,1.096478196,0.047256871,394.5,Kenya,
181,NRB_1_R,Reject,10.47128548,1.016140195,53,Kenya,
182,NRB_2_R,Reject,138.0384265,2.141980486,48.3,Kenya,
183,NRB_3_R,Reject,3388.441561,3.527576589,17.8,Kenya,
184,NRB_4_R,Reject,1.096478196,0.036659436,17.9,Kenya,
185,NRB_5_R,Reject,1.096478196,0.036659436,36.6,Kenya,
186,NRB_6_R,Reject,1.096478196,0.036659436,60.5,Kenya,
187,NRB_7_R,Reject,1.096478196,0.036659436,36.8,Kenya,
188,NRB_8_R,Reject,151.3561248,2.175801376,30.9,Kenya,
189,NRB_9_R,Reject,20.41737945,1.311457449,42.4,Kenya,
190,NRB_10_R,Reject,1.288249552,0.110430746,16.2,Kenya,
191,NRB_11_R,Reject,2.511886432,0.402157951,28.4,Kenya,
192,NRB_12_R,Reject,1.77827941,0.245574939,10.6,Kenya,
193,NRB_13_R,Reject,2.884031503,0.461971734,45.1,Kenya,
194,NRB_14_R,Reject,1.122018454,0.053027472,26.7,Kenya,
195,NRB_15_R,Reject,1.096478196,0.036659436,33.5,Kenya,
196,NRB_16_R,Reject,1.348962883,0.126740415,12,Kenya,
197,NRB_17_R,Reject,1.096478196,0.036659436,28.8,Kenya,
198,NRB_18_R,Reject,2.13796209,0.334727473,13.4,Kenya,
199,NRB_19_R,Reject,1.258925412,0.103839843,26.2,Kenya,
200,NRB_20_R,Reject,1.096478196,0.036659436,47.5,Kenya,
201,NRB_21_R,Reject,1.122018454,0.047215081,28.6,Kenya,
202,NRB_22_R,Reject,1.096478196,0.036659436,1.8,Kenya,
203,NRB_23_R,Reject,1.096478196,0.036659436,24.5,Kenya,
204,NRB_24_R,Reject,1.096478196,0.036659436,11.2,Kenya,
205,NRB_25_R,Reject,1.096478196,0.036659436,23.8,Kenya,
206,NRB_26_R,Reject,1.096478196,0.036659436,26.7,Kenya,
207,NRB_27_R,Reject,1.096478196,0.036659436,24.1,Kenya,
208,NRB_28_R,Reject,1.096478196,0.036659436,13.4,Kenya,
209,NRB_29_R,Reject,6.60693448,0.815898109,31.5,Kenya,
210,NRB_30_R,Reject,36.30780548,1.556523569,23.1,Kenya,
211,NRB_31_R,Reject,1.096478196,0.036659436,14.3,Kenya,
212,NRB_32_R,Reject,1.380384265,0.137487947,90.1,Kenya,
213,NRB_33_R,Reject,1.096478196,0.036659436,12.9,Kenya,
214,NRB_34_R,Reject,1.202264435,0.08269659,11.7,Kenya,
215,NRB_35_R,Reject,1.096478196,0.036659436,12.9,Kenya,
216,NRB_36_R,Reject,1.096478196,0.036659436,19.5,Kenya,
217,NRB_37_R,Reject,1.202264435,0.08269659,20,Kenya,
218,NRB_38_R,Reject,1.096478196,0.036659436,23.3,Kenya,
219,NRB_39_R,Reject,1.096478196,0.036659436,33.7,Kenya,
220,NRB_40_R,Reject,1.258925412,0.098316731,16.2,Kenya,
221,NRB_41_R,Reject,1.096478196,0.036659436,25.5,Kenya,
222,NRB_42_R,Reject,1.096478196,0.036659436,20.7,Kenya,
223,NRB_43_R,Reject,1.096478196,0.036659436,20,Kenya,
224,NRB_44_R,Reject,1.096478196,0.036659436,75.7,Kenya,
225,NRB_45_R,Reject,1.096478196,0.036659436,16.3,Kenya,
226,NRB_1,Calculated Bulk,2.545005474,0.404432819,,Kenya,
227,NRB_2,Calculated Bulk,18.17444386,1.261162252,,Kenya,
228,NRB_3,Calculated Bulk,112.2183773,2.047733074,,Kenya,
229,NRB_4,Calculated Bulk,1.096478196,0.046857883,,Kenya,
230,NRB_5,Calculated Bulk,8.801326333,0.943685087,,Kenya,
231,NRB_6,Calculated Bulk,1.796890526,0.250296,,Kenya,
232,NRB_7,Calculated Bulk,1.98136201,0.299290799,,Kenya,
